Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1917,-0.57,-0.63,-0.65,-0.56,-0.56,-0.44,-0.26,-0.23,-0.24,-0.45,-0.34,-0.68
1918,-0.48,-0.35,-0.26,-0.45,-0.44,-0.37,-0.32,-0.32,-0.19,-0.07,-0.12,-0.3
1919,-0.21,-0.25,-0.22,-0.13,-0.29,-0.37,-0.3,-0.34,-0.26,-0.21,-0.42,-0.43
1920,-0.25,-0.27,-0.13,-0.25,-0.28,-0.36,-0.31,-0.28,-0.23,-0.28,-0.28,-0.47
1921,-0.05,-0.18,-0.24,-0.31,-0.31,-0.28,-0.15,-0.26,-0.2,-0.04,-0.14,-0.18
1922,-0.33,-0.45,-0.15,-0.23,-0.34,-0.31,-0.28,-0.33,-0.37,-0.33,-0.15,-0.19
1923,-0.29,-0.4,-0.34,-0.42,-0.34,-0.3,-0.31,-0.33,-0.32,-0.14,-0.03,-0.05
1924,-0.24,-0.24,-0.09,-0.32,-0.19,-0.27,-0.3,-0.36,-0.33,-0.36,-0.22,-0.43
1925,-0.39,-0.41,-0.28,-0.26,-0.3,-0.33,-0.27,-0.2,-0.2,-0.18,0.04,0.06
1926,0.2,0.02,0.1,-0.13,-0.24,-0.26,-0.28,-0.14,-0.16,-0.12,-0.07,-0.3
1927,-0.28,-0.19,-0.39,-0.31,-0.26,-0.28,-0.2,-0.24,-0.13,-0.02,-0.06,-0.34
1928,-0.03,-0.09,-0.26,-0.29,-0.3,-0.39,-0.2,-0.23,-0.22,-0.2,-0.09,-0.17
1929,-0.46,-0.59,-0.34,-0.42,-0.39,-0.44,-0.37,-0.32,-0.26,-0.15,-0.12,-0.55
1930,-0.3,-0.27,-0.12,-0.26,-0.25,-0.22,-0.22,-0.16,-0.16,-0.12,0.17,-0.06
1931,-0.1,-0.21,-0.11,-0.23,-0.2,-0.08,-0.04,-0.04,-0.07,0.04,-0.06,-0.06
1932,0.14,-0.18,-0.18,-0.06,-0.18,-0.29,-0.25,-0.22,-0.11,-0.09,-0.28,-0.26
1933,-0.24,-0.3,-0.3,-0.25,-0.3,-0.35,-0.21,-0.24,-0.3,-0.26,-0.31,-0.45
1934,-0.22,-0.03,-0.3,-0.31,-0.1,-0.16,-0.11,-0.13,-0.16,-0.07,0.03,-0.03
1935,-0.34,0.14,-0.15,-0.37,-0.3,-0.27,-0.22,-0.22,-0.22,-0.06,-0.27,-0.18
1936,-0.28,-0.39,-0.22,-0.2,-0.17,-0.22,-0.1,-0.13,-0.1,-0.04,0.01,-0.02
1937,-0.08,0.02,-0.21,-0.16,-0.06,-0.05,-0.04,0.01,0.08,0.08,0.08,-0.07
1938,0.08,0.03,0.09,0.05,-0.1,-0.18,-0.1,-0.06,0,0.14,0.07,-0.13
1939,-0.06,-0.07,-0.18,-0.1,-0.05,-0.07,-0.06,-0.06,-0.08,-0.04,0.06,0.43
1940,-0.01,0.08,0.09,0.17,0.1,0.11,0.12,0.07,0.15,0.11,0.16,0.31
1941,0.18,0.31,0.09,0.16,0.16,0.12,0.21,0.15,0.02,0.34,0.22,0.21
1942,0.29,0.02,0.05,0.09,0.1,0.04,0,-0.04,-0.04,0.01,0.09,0.12
1943,-0.01,0.17,-0.04,0.1,0.06,-0.06,0.08,0.01,0.05,0.22,0.19,0.23
1944,0.36,0.24,0.26,0.19,0.18,0.15,0.17,0.18,0.27,0.26,0.1,0.03
1945,0.09,0,0.05,0.19,0.05,0,0.03,0.26,0.2,0.18,0.06,-0.07
1946,0.15,0.02,0.01,0.05,-0.08,-0.22,-0.13,-0.21,-0.09,-0.08,-0.06,-0.31
1947,-0.07,-0.08,0.06,0.06,-0.02,-0.02,-0.05,-0.07,-0.13,0.07,0.02,-0.14
1948,0.06,-0.15,-0.25,-0.12,-0.01,-0.05,-0.12,-0.12,-0.15,-0.06,-0.13,-0.24
1949,0.06,-0.15,-0.03,-0.11,-0.11,-0.28,-0.13,-0.13,-0.15,-0.07,-0.11,-0.18
1950,-0.26,-0.27,-0.08,-0.21,-0.12,-0.05,-0.09,-0.16,-0.12,-0.21,-0.34,-0.22
1951,-0.34,-0.42,-0.21,-0.14,-0.01,-0.07,-0.01,0.06,0.05,0.07,-0.01,0.15
1952,0.11,0.11,-0.08,0.03,-0.03,-0.03,0.04,0.05,0.06,-0.01,-0.13,-0.02
1953,0.07,0.14,0.1,0.19,0.11,0.11,0,0.05,0.04,0.07,-0.03,0.04
1954,-0.24,-0.1,-0.15,-0.14,-0.2,-0.19,-0.19,-0.18,-0.1,-0.02,0.08,-0.18
1955,0.13,-0.16,-0.32,-0.22,-0.2,-0.14,-0.12,0.02,-0.11,-0.06,-0.25,-0.28
1956,-0.13,-0.24,-0.21,-0.28,-0.29,-0.16,-0.09,-0.26,-0.19,-0.23,-0.15,-0.06
1957,-0.09,-0.03,-0.04,0.01,0.09,0.16,0.03,0.13,0.07,0,0.07,0.14
1958,0.39,0.21,0.09,0.01,0.05,-0.07,0.06,-0.03,-0.02,0.04,0.02,0.01
1959,0.08,0.07,0.17,0.14,0.05,0.03,0.03,0,-0.06,-0.06,-0.08,-0.01
1960,0,0.14,-0.34,-0.15,-0.08,-0.05,-0.04,0.03,0.06,0.05,-0.11,0.19
1961,0.07,0.19,0.1,0.12,0.13,0.11,0.01,0.01,0.08,0.02,0.03,-0.16
1962,0.06,0.16,0.11,0.06,-0.07,0.05,0.02,-0.02,0.02,0.02,0.06,-0.03
1963,-0.03,0.19,-0.13,-0.07,-0.06,0.03,0.07,0.22,0.18,0.14,0.14,-0.03
1964,-0.09,-0.1,-0.22,-0.32,-0.25,-0.05,-0.05,-0.21,-0.3,-0.31,-0.22,-0.3
1965,-0.08,-0.17,-0.13,-0.2,-0.11,-0.08,-0.14,-0.05,-0.14,-0.06,-0.06,-0.08
1966,-0.19,-0.05,0.03,-0.14,-0.12,-0.01,0.08,-0.08,-0.03,-0.16,-0.01,-0.03
1967,-0.08,-0.21,0.05,-0.04,0.11,-0.08,0.03,-0.01,-0.05,0.1,-0.04,-0.05
1968,-0.26,-0.15,0.2,-0.06,-0.13,-0.07,-0.12,-0.08,-0.17,0.09,-0.05,-0.14
1969,-0.11,-0.17,0.01,0.17,0.18,0.04,-0.04,0.04,0.08,0.1,0.12,0.24
1970,0.08,0.22,0.06,0.05,-0.04,-0.03,0.01,-0.1,0.11,0.03,0.02,-0.12
1971,-0.03,-0.16,-0.18,-0.07,-0.05,-0.17,-0.08,-0.01,-0.06,-0.04,-0.07,-0.08
1972,-0.22,-0.18,0.02,0,-0.03,0.04,0.01,0.16,0.02,0.08,0.03,0.17
1973,0.29,0.33,0.29,0.28,0.23,0.19,0.13,0.05,0.09,0.1,0.05,-0.06
1974,-0.1,-0.27,-0.05,-0.11,-0.04,-0.05,-0.03,0.11,-0.07,-0.05,-0.07,-0.08
1975,0.11,0.08,0.13,0.04,0.16,-0.01,-0.01,-0.17,-0.03,-0.11,-0.17,-0.17
1976,-0.03,-0.06,-0.21,-0.07,-0.2,-0.12,-0.1,-0.12,-0.06,-0.24,-0.06,0.11
1977,0.18,0.23,0.25,0.27,0.33,0.27,0.2,0.18,0.02,0.03,0.16,0.03
1978,0.06,0.1,0.19,0.17,0.09,-0.01,0.05,-0.13,0.06,0.03,0.14,0.08
1979,0.09,-0.1,0.19,0.15,0.04,0.14,0.04,0.17,0.25,0.26,0.29,0.48
1980,0.3,0.4,0.3,0.31,0.35,0.2,0.22,0.19,0.21,0.13,0.3,0.22
1981,0.53,0.42,0.48,0.33,0.25,0.29,0.32,0.35,0.15,0.12,0.23,0.41
1982,0.05,0.16,0.03,0.15,0.18,0.06,0.15,0.04,0.14,0.13,0.18,0.42
1983,0.53,0.43,0.42,0.28,0.33,0.23,0.18,0.35,0.37,0.16,0.3,0.17
1984,0.31,0.14,0.26,0.06,0.33,0.02,0.19,0.19,0.21,0.14,0.07,-0.04
1985,0.22,-0.03,0.17,0.12,0.15,0.15,0.04,0.17,0.13,0.11,0.05,0.13
1986,0.28,0.37,0.3,0.23,0.21,0.12,0.11,0.16,0.03,0.15,0.11,0.14
1987,0.33,0.43,0.18,0.25,0.25,0.35,0.4,0.25,0.35,0.32,0.29,0.47
1988,0.57,0.45,0.51,0.43,0.44,0.4,0.33,0.39,0.36,0.38,0.12,0.28
